,市町村区,平成21年(事業所数),平成24年(事業所数),平成26年(事業所数),平成28年(事業所数),平成21年(従業者数),平成24年(従業者数),平成26年(従業者数),平成28年(従業者数)
6,県計,111343,98190,103505,102026,1032237,955780,1010795,1006886
7,仙台市,51203,49028,52523,51584,546366,529525,561536,554801
8,　　　青葉区,20271,20203,21932,21869,240238,235430,251719,248536
9,　　　宮城野区,9678,8947,9516,9410,110674,106388,111088,110131
10,　　　若林区,7449,6755,7033,6799,70937,67015,68335,67118
11,　　　太白区,6358,6142,6566,6240,54008,53788,58737,57597
12,　　　泉区,7447,6981,7476,7266,70509,66904,71657,71419
13,石巻市,9016,5763,6243,6301,65659,48259,53303,56666
14,塩竈市,3271,2728,2779,2657,21010,19149,19990,18976
15,気仙沼市,4458,2627,2987,2936,30491,18188,22641,22668
16,白石市,1742,1593,1544,1516,13195,12899,13299,13630
17,名取市,2874,2484,2755,2780,28673,26332,30022,30632
18,角田市,1367,1266,1243,1201,14321,13840,13451,13042
19,多賀城市,2509,2034,2172,2112,21935,18178,18435,18168
20,岩沼市,1978,1752,1822,1826,20605,18221,19254,20030
21,登米市,4552,4248,4208,4114,31677,30635,30418,29976
22,栗原市,3528,3284,3250,3107,26925,25714,26340,25543
23,東松島市,1662,1082,1210,1192,10955,8262,9377,9397
24,大崎市,6456,5919,6029,5892,54893,51503,52173,51813
25,蔵王町,672,618,613,597,5247,5039,4951,4953
26,七ケ宿町,98,89,84,88,527,515,492,540
27,大河原町,1326,1242,1218,1175,10120,9186,8985,9005
28,村田町,554,517,502,482,5583,5141,5171,5093
29,柴田町,1329,1235,1215,1175,13661,12865,12782,12151
30,川崎町,493,456,458,439,3431,3333,3439,3328
31,丸森町,551,512,507,511,4011,3789,3572,3850
32,亘理町,1128,927,1000,1016,9553,8697,9154,9391
33,山元町,553,393,400,387,4274,3093,3607,3563
34,松島町,668,589,587,578,5154,4160,4335,4047
35,七ケ浜町,578,462,454,445,2909,2605,2444,2304
36,利府町,1017,963,1030,999,11360,10725,11647,10926
37,大和町,1170,1120,1203,1199,12253,13882,14784,16453
38,大郷町,390,360,362,364,3751,3210,3463,3352
39,富谷町,1169,1200,1296,1285,11161,11724,12857,13197
40,大衡村,286,294,311,311,4544,6570,7280,7206
41,色麻町,249,224,226,230,2510,2498,2047,2109
42,加美町,1281,1166,1144,1112,10228,9657,9870,9383
43,涌谷町,727,641,645,598,6252,5709,5795,5283
44,美里町,1003,915,929,910,8230,7469,7574,7298
45,女川町,615,191,233,356,5182,2637,3130,3774
46,南三陸町,870,268,323,551,5591,2571,3177,4338
47,仙南圏,8132,7528,7384,7184,70096,66607,66142,65592
48,仙台都市圏,68794,64334,68694,67543,703548,676071,718808,713046
49,大崎圏,9716,8865,8973,8742,82113,76836,77459,75886
50,栗原圏,3528,3284,3250,3107,26925,25714,26340,25543
51,登米圏,4552,4248,4208,4114,31677,30635,30418,29976
52,石巻圏,11293,7036,7686,7849,81796,59158,65810,69837
53,気仙沼・本吉圏,5328,2895,3310,3487,36082,20759,25818,27006
54,沿岸部,48324,37965,40544,40345,424962,364480,389939,392129
55,内陸部,63019,60225,62961,61681,607275,591300,620856,614757
